Taxon,Cluster
6930_8#8,1
7622_4#1,1
6999_7#11,1
7622_5#77,1
6999_4#7,1
7622_4#9,1
7001_3#10,1
6999_1#22,1
6999_7#13,1
6999_5#2,1
6999_1#9,1
7622_3#88,1
6925_2#86,1
7622_4#22,1
6952_4#23,1
7622_2#22,1
6999_4#2,1
6999_3#17,1
7622_4#20,1
7553_4#18,1
7622_2#8,1
7622_2#35,1
7622_3#84,1
6999_5#20,1
6925_1#49,1
7553_5#53,1
7622_3#67,1
7622_3#57,1
6930_8#5,1
6925_2#80,1
7553_5#51,1
7001_3#16,1
7001_2#6,1
7622_4#3,1
7622_5#63,1
6925_2#82,1
7622_5#89,1
6925_1#50,1
6999_5#22,1
7553_4#35,1
7622_2#1,1
7622_5#87,1
7622_2#9,1
7622_5#66,1
6952_7#15,1
6999_1#23,1
7622_2#48,1
6925_1#53,1
7622_3#94,1
7622_4#33,1
7553_6#3,1
6999_1#2,1
7553_5#54,1
7001_1#2,1
7622_2#10,1
6999_5#7,1
7622_4#29,1
7001_3#6,1
6999_2#6,1
6999_5#21,1
7553_5#64,1
7553_5#79,1
7001_2#3,1
7622_4#40,1
7001_3#17,1
7553_5#68,1
6999_4#23,1
7001_2#19,1
6999_1#14,1
6999_2#12,1
7553_4#4,1
7622_5#70,1
7553_4#47,1
7001_2#12,1
6952_4#20,1
6999_6#20,1
7553_4#13,1
7553_6#1,1
6925_1#67,1
6999_4#10,1
6999_7#9,1
7622_3#96,1
6999_6#8,1
6999_3#23,1
6952_4#18,1
7622_4#5,1
7553_4#9,1
6952_7#1,1
7001_3#22,1
7622_5#54,1
6999_4#20,1
7622_2#39,1
7553_5#65,1
7622_5#50,1
6999_7#8,1
7622_5#55,1
6925_2#91,1
6999_1#5,1
6930_8#23,2
7622_3#83,2
7622_4#21,2
7622_3#74,2
6952_7#14,2
6999_3#15,2
6952_7#17,2
6952_7#21,2
6930_8#14,2
7622_2#28,2
6925_2#85,2
6930_8#16,2
6925_1#68,2
6952_4#3,2
7622_3#82,2
6925_2#74,2
6999_5#6,2
6999_5#16,2
6925_1#69,2
6999_3#8,2
7622_4#2,2
7622_5#88,2
6999_6#3,2
7622_2#31,2
7001_2#10,2
6925_2#94,2
7622_2#5,2
7622_5#85,2
7553_4#22,2
7622_3#58,2
6930_8#13,2
7622_4#26,2
6952_7#8,2
7622_2#41,2
6999_1#12,2
7622_4#35,2
6925_2#76,2
7622_5#72,2
7622_3#52,2
6999_5#3,2
6952_4#14,2
7622_3#92,2
7622_5#51,2
7001_2#22,2
6930_8#7,2
6999_6#10,2
6999_7#10,2
7553_4#3,2
7622_3#76,2
7622_4#13,2
7553_5#71,2
6999_7#6,2
7622_4#41,2
7622_4#27,2
6999_6#5,2
7553_4#29,2
6999_1#20,3
7553_4#24,3
7001_1#18,3
7001_3#19,3
6925_2#89,3
7622_4#19,3
7553_4#26,3
7001_1#4,3
7001_3#18,3
6952_4#12,3
6999_7#2,3
7001_3#12,3
6925_2#73,3
6999_7#19,3
7622_3#56,3
7622_4#11,3
7622_5#57,3
6999_4#9,3
7553_5#86,3
7622_2#13,3
7622_5#58,3
7622_5#95,3
7622_3#55,3
7553_5#82,3
6925_1#70,3
7001_3#13,3
6999_7#17,3
7553_5#52,3
7622_4#39,3
6999_2#22,3
6999_2#2,3
6952_7#9,3
7553_4#30,3
7622_5#91,3
7622_4#7,3
7622_5#90,3
7553_5#80,3
7622_2#44,3
7553_5#75,3
7622_4#34,3
6999_4#1,3
7622_3#69,3
6999_6#7,3
7622_4#17,3
6999_6#4,3
7622_5#94,3
6999_2#8,3
7001_1#3,3
6999_2#23,4
7001_1#20,4
7622_4#43,4
6999_1#21,4
7622_3#62,4
7622_5#53,4
7622_3#80,4
6999_7#14,4
7553_4#25,4
7553_5#57,4
7622_3#63,4
7553_5#61,4
7553_5#59,4
6999_2#21,4
7622_5#59,4
7622_3#95,4
7553_5#63,4
6952_7#4,4
7553_5#77,4
7622_3#65,4
6999_3#5,4
7001_3#5,4
7001_3#1,4
6925_2#92,4
6925_1#62,4
6952_7#3,4
6925_2#87,4
7553_5#83,4
7001_1#6,4
7553_5#74,4
7622_3#75,4
7553_4#34,4
6930_8#19,4
7553_4#20,4
7622_4#23,4
7622_4#14,4
6952_7#11,4
6999_3#21,4
7622_2#11,4
7553_5#85,4
7622_4#28,4
7622_5#80,4
7001_2#14,4
7001_1#10,4
7622_3#50,4
7553_6#4,4
7622_2#38,5
7622_2#7,5
7001_1#17,5
7001_3#7,5
6999_2#15,5
7622_3#54,5
6999_5#19,5
6999_4#11,5
6925_2#77,5
6999_1#17,5
6999_7#22,5
7622_2#12,5
6952_4#21,5
7001_1#8,5
7622_3#51,5
6999_2#1,5
7553_4#6,5
7553_4#39,5
7553_4#17,5
6999_7#23,5
7622_5#73,5
7001_1#21,5
6999_5#17,5
7001_3#8,5
7622_2#25,5
7622_2#36,6
6999_1#16,6
7553_4#23,6
6925_2#95,6
7553_4#5,6
6925_1#59,6
7622_2#30,6
7001_3#14,6
7553_5#56,6
7001_3#21,6
6925_2#83,6
6999_2#19,6
6925_1#55,6
6952_7#19,6
7001_2#21,6
7622_2#37,6
6999_2#20,6
7553_4#33,6
7553_5#84,6
7622_2#2,6
7001_3#4,6
7001_2#23,6
7553_5#58,6
7622_5#78,6
7553_5#67,6
7001_1#5,7
6999_1#6,7
7001_1#13,7
6999_7#16,7
6999_5#9,7
7553_6#6,7
7553_4#44,7
7553_5#91,7
6930_8#11,7
7622_3#72,7
6952_7#6,7
7622_4#36,7
6999_5#4,7
6930_8#6,7
6999_4#16,7
6999_1#4,7
6999_3#10,7
7001_1#14,7
7622_5#84,7
7001_3#9,7
7553_4#32,7
7622_3#91,8
6999_5#10,8
6952_4#1,8
6999_5#14,8
7553_4#7,8
7001_1#23,8
6999_3#13,8
6952_7#20,8
7001_3#15,8
6999_2#5,8
7001_1#22,8
7622_3#68,8
6999_7#7,8
7001_1#19,8
6999_2#4,8
6999_3#6,8
6999_4#8,8
6930_8#21,8
7622_2#3,8
7553_5#49,9
6999_2#7,9
7622_3#66,9
6999_2#10,9
7553_4#21,9
7622_2#34,9
7622_4#12,9
6952_4#16,9
6952_7#18,9
7001_2#8,9
7001_2#13,9
7553_5#66,9
7622_2#27,9
7622_3#89,9
7553_5#88,9
6999_4#17,9
7001_2#15,9
6999_1#8,9
6999_2#14,10
6925_1#54,10
6999_4#14,10
6999_3#12,10
7553_4#15,10
6925_2#93,10
6999_4#4,10
6952_4#10,10
6930_8#12,10
6999_6#15,10
6999_7#3,10
6999_7#15,10
6999_3#4,10
6999_3#18,10
6999_2#16,10
6952_4#15,10
6999_4#19,10
6952_7#5,10
7622_5#76,11
7622_3#81,11
7622_4#24,11
7622_5#75,11
6930_8#10,11
7622_3#53,11
6999_2#9,11
6999_6#21,11
6925_1#63,11
7001_2#5,11
6999_6#2,11
7001_1#16,11
7622_2#29,11
7622_5#62,11
7553_6#8,11
6925_2#90,12
7553_4#16,12
7553_4#38,12
6999_6#14,12
7622_2#15,12
7622_5#49,12
6999_4#15,12
7622_4#32,12
7001_1#15,12
7001_2#20,12
7553_6#5,12
7553_4#48,12
7622_5#83,12
6925_1#60,12
7001_1#12,12
7001_2#18,13
6925_1#65,13
7622_4#47,13
7553_4#19,13
7622_3#93,13
7622_5#56,13
7622_5#93,13
6999_2#3,13
7553_5#92,13
7622_2#19,13
7622_2#18,13
7553_4#11,13
7622_4#37,13
6999_4#12,14
6952_7#10,14
6999_3#16,14
6999_1#18,14
6999_3#19,14
6952_7#7,14
6999_5#13,14
7622_4#8,14
6952_4#11,14
6999_7#5,14
7553_6#2,14
7553_5#87,14
6999_3#22,15
7001_2#1,15
6999_1#19,15
7001_1#1,15
6999_2#11,15
7622_5#60,15
6999_7#12,15
7622_5#92,15
6999_3#20,15
7001_1#7,15
6999_1#7,15
6999_4#6,16
7553_4#1,16
7553_5#50,16
7622_2#24,16
7622_3#87,16
7553_5#89,16
7622_4#25,16
7553_5#94,16
6925_1#71,16
7553_4#37,16
6925_2#79,16
6999_2#13,17
7553_4#8,17
7553_5#60,17
7622_2#43,17
7553_4#27,17
7553_5#76,17
6952_7#2,17
7553_4#12,17
7622_3#49,17
7553_5#96,17
7622_4#38,18
7622_4#6,18
6952_7#22,18
7553_5#69,18
7622_4#44,18
7622_3#64,18
7001_2#7,18
6999_1#1,18
7622_5#79,18
6999_1#3,19
6999_1#11,19
7622_4#48,19
6999_5#12,19
6952_4#17,19
6999_6#1,19
7622_5#52,19
6999_5#5,19
6952_4#19,19
6925_2#84,20
7622_2#16,20
6999_4#22,20
6925_1#64,20
6999_5#1,20
7622_4#4,20
7001_3#11,20
7622_2#32,20
7622_5#68,20
7622_2#4,21
7622_4#18,21
7622_2#6,21
7622_4#16,21
7622_5#96,21
7622_3#59,21
7622_5#82,21
7622_3#79,21
7001_2#2,22
7553_4#41,22
7001_2#16,22
6952_7#13,22
7622_5#65,22
6999_6#17,22
6999_5#15,22
6999_6#19,23
6999_7#4,23
6999_3#1,23
6999_3#2,23
6952_4#4,23
6999_6#9,23
6999_4#21,23
6999_1#15,24
6930_8#22,24
6999_5#18,24
6999_2#18,24
6999_1#10,24
7001_3#3,24
6999_6#13,24
6999_3#3,25
6999_6#12,25
7001_3#20,25
6930_8#18,25
7622_5#81,25
6930_8#15,25
7553_4#40,25
7622_2#14,26
7001_1#9,26
6925_1#66,26
7553_4#14,26
7622_2#42,26
6952_4#7,26
7001_2#11,26
6925_1#51,27
7553_5#62,27
6952_4#13,27
6930_8#9,27
6952_4#22,27
7622_4#10,27
6925_1#58,27
6925_2#81,28
7553_5#73,28
7553_5#93,28
7622_5#64,28
7622_2#17,28
7553_5#55,28
7553_5#70,29
7553_6#7,29
7553_5#72,29
7553_5#78,29
7553_5#81,29
6999_7#18,30
6999_6#16,30
6925_1#57,30
6999_6#22,30
6999_3#7,30
7622_3#71,31
7622_5#86,31
7622_3#70,31
7001_2#9,31
6925_2#75,32
7553_4#42,32
7553_4#2,32
7553_5#90,32
6925_1#61,33
6925_2#88,33
7622_2#26,33
6952_4#8,33
6925_1#52,34
7553_5#95,34
7622_2#33,34
7622_4#15,34
7001_1#11,35
6999_6#6,35
6999_7#21,35
6999_5#11,36
6999_7#1,36
6999_5#23,36
6999_2#17,37
7001_2#17,37
6930_8#17,37
6999_3#11,38
6925_2#78,38
6999_1#13,38
6999_3#14,39
6925_1#56,39
6930_8#20,39
7622_2#47,40
7622_3#78,40
7622_2#23,41
7622_5#67,41
7622_2#20,42
7622_5#74,42
6999_6#23,43
7622_3#60,43
7622_4#31,44
6999_6#18,44
6999_4#18,45
7553_4#10,45
6952_7#23,46
7553_4#36,46
6952_4#6,47
7622_4#42,47
7622_5#61,48
7622_3#86,49
7622_2#40,50
7622_2#21,51
7553_4#31,52
7553_4#28,53
7001_3#2,54
7001_2#4,55
6999_7#20,56
6999_6#11,57
6999_5#8,58
6999_4#13,59
6999_3#9,60
6952_7#16,61
6952_4#5,62
